wake,estimatedSleep,coffee,actualSleep
31500,9.0,6.0,38230
32400,5.0,2.0,20180
26100,6.5,10.0,31989
40500,8.75,4.0,3525
19800,6.0,3.0,24487
27000,7.5,1.0,28300
20700,9.25,1.0,34548
21600,6.0,3.0,24557
41400,9.25,5.0,37836
34200,6.75,8.0,31340
21600,5.25,3.0,21874
78300,9.25,8.0,40405
32400,10.0,2.0,38076
28800,8.75,3.0,34265
18900,8.25,1.0,30936
18000,6.25,2.0,24665
28800,10.0,3.0,39007
18000,6.25,2.0,24578
7200,10.0,1.0,37267
35100,9.5,4.0,37878
24300,5.0,2.0,20220
35100,7.5,1.0,28400
34200,6.25,1.0,23882
27900,8.0,4.0,32427
30600,8.0,3.0,31699
69300,6.5,7.0,29670
35100,8.0,4.0,32789
34200,10.0,4.0,39792
34200,8.25,1.0,30935
23400,8.0,3.0,31701
34200,7.5,2.0,29026
21600,5.5,1.0,21184
24300,9.75,1.0,36456
24300,6.0,1.0,22842
25200,7.0,1.0,26542
28800,6.5,4.0,27095
28800,8.25,3.0,32717
18900,9.5,1.0,35465
33300,7.5,3.0,29965
31500,5.0,1.0,19325
83700,8.75,8.0,39087
21600,6.25,1.0,23854
18000,5.25,1.0,20125
30600,9.25,3.0,36367
32400,9.25,9.0,40898
26100,10.0,1.0,37289
31500,5.0,10.0,26486
35100,5.75,1.0,22026
25200,10.0,3.0,39152
34200,9.5,2.0,36365
16200,6.25,2.0,24682
36900,8.0,8.0,35901
19800,7.25,2.0,28197
18000,8.0,1.0,30143
27000,9.0,1.0,33719
20700,6.75,9.0,31746
22500,5.5,1.0,21195
20700,6.5,6.0,28913
33300,5.5,1.0,21077
19800,6.25,3.0,25694
27000,5.75,1.0,22036
27900,5.0,8.0,25678
22500,9.0,8.0,39153
34200,6.5,1.0,24762
33300,7.0,1.0,26537
34200,7.75,1.0,29231
24300,5.5,1.0,21051
33300,5.25,3.0,21685
16200,9.75,2.0,37165
20700,8.75,2.0,33648
25200,7.25,3.0,29188
34200,10.0,1.0,37351
26100,6.5,4.0,27230
23400,6.5,1.0,24772
25200,9.75,2.0,37282
27000,7.5,10.0,36373
34200,9.25,1.0,34607
35100,6.0,1.0,22855
28800,8.25,7.0,36014
23400,8.0,6.0,34554
23400,6.5,1.0,24764
22500,5.0,9.0,26342
25200,7.25,2.0,28119
31500,8.5,1.0,31913
33300,6.25,1.0,23820
10800,6.75,1.0,25585
26100,7.5,1.0,28324
30600,8.75,1.0,32859
29700,5.75,3.0,23635
28800,10.0,5.0,40954
23400,8.25,2.0,31745
34200,5.25,1.0,20219
27000,5.25,3.0,21702
29700,5.5,2.0,21946
26100,8.25,1.0,30982
26100,5.0,3.0,20998
27900,9.0,1.0,33753
27000,7.25,1.0,27395
36900,7.75,10.0,36270
26100,5.75,3.0,23617
19800,7.5,2.0,29137
21600,7.25,1.0,27429
23400,7.75,1.0,29288
31500,7.0,10.0,33886
13500,9.25,2.0,35521
33300,7.0,3.0,27993
20700,8.0,1.0,30090
57600,9.25,1.0,34595
83700,7.25,1.0,27468
23400,9.5,9.0,42215
54000,6.5,8.0,30077
18900,5.75,1.0,22016
24300,9.75,10.0,44469
18900,9.75,5.0,39761
27000,8.5,2.0,32719
34200,9.0,3.0,35149
26100,7.5,8.0,33958
18000,8.75,1.0,32756
1800,9.25,1.0,34569
33300,5.5,1.0,21064
51300,8.5,2.0,32719
22500,6.75,7.0,30198
32400,10.0,8.0,43250
33300,6.25,10.0,31598
19800,5.0,1.0,19297
13500,5.0,3.0,21123
31500,7.5,1.0,28316
40500,6.25,7.0,28701
18900,7.75,1.0,29192
18900,7.75,1.0,29207
26100,8.0,3.0,31765
27900,8.25,4.0,33791
22500,6.25,3.0,25470
25200,10.0,7.0,42330
26100,5.75,3.0,23727
18900,5.0,8.0,24966
48600,8.75,1.0,32837
27000,7.0,1.0,26487
27900,8.25,6.0,35581
28800,5.0,2.0,20233
27000,8.75,3.0,34407
18000,7.5,1.0,28250
21600,5.5,2.0,21888
30600,5.0,3.0,20774
40500,9.25,1.0,34547
24300,8.0,3.0,31558
28800,9.25,3.0,36372
27900,5.5,1.0,21116
33300,8.25,3.0,32895
20700,9.0,3.0,35517
19800,7.75,2.0,30043
64800,6.5,4.0,27136
22500,8.75,1.0,32752
29700,5.75,3.0,23609
18000,6.25,4.0,26426
18000,8.25,5.0,34140
31500,9.5,3.0,37130
18000,10.0,7.0,42350
7200,6.5,4.0,27023
31500,9.25,4.0,37268
32400,5.75,1.0,21985
25200,5.0,3.0,20764
22500,8.0,1.0,30048
26100,8.25,3.0,32631
32400,9.0,1.0,33679
19800,6.5,1.0,24668
31500,5.0,1.0,19324
33300,6.0,3.0,24635
35100,6.25,1.0,23822
30600,7.75,9.0,35271
21600,7.0,1.0,26515
33300,9.0,3.0,35284
18000,9.75,1.0,36444
20700,6.75,2.0,26430
32400,8.75,2.0,33678
22500,8.0,1.0,30132
22500,9.5,3.0,37044
